verdaxis-backend  | INFO:     64.62.197.117:14151 - "CONNECT www.shadowserver.org%3A443 HTTP/1.1" 404 Not Found
verdaxis-backend  | INFO:     62.195.105.213:62083 - "OPTIONS /api/notifications HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:62084 - "GET /api/notifications HTTP/1.1" 307 Temporary Redirect
verdaxis-backend  | INFO:     62.195.105.213:62084 - "OPTIONS /api/notifications/ HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:62085 - "GET /api/notifications/ HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:62085 - "OPTIONS /api/notifications/unread-count HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:62086 - "GET /api/notifications/unread-count HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:62099 - "GET /api/notifications HTTP/1.1" 307 Temporary Redirect
verdaxis-backend  | INFO:     62.195.105.213:62099 - "GET /api/notifications/ HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:62099 - "GET /api/notifications/unread-count HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:62143 - "GET /api/notifications HTTP/1.1" 307 Temporary Redirect
verdaxis-backend  | INFO:     62.195.105.213:62143 - "GET /api/notifications/ HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:62143 - "GET /api/notifications/unread-count HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:62176 - "GET /api/notifications HTTP/1.1" 307 Temporary Redirect
verdaxis-backend  | INFO:     62.195.105.213:62176 - "GET /api/notifications/ HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:62176 - "GET /api/notifications/unread-count HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:62208 - "GET /api/notifications HTTP/1.1" 307 Temporary Redirect
verdaxis-backend  | INFO:     62.195.105.213:62208 - "GET /api/notifications/ HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:62208 - "GET /api/notifications/unread-count HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:62269 - "GET /api/notifications HTTP/1.1" 307 Temporary Redirect
verdaxis-backend  | INFO:     62.195.105.213:62269 - "GET /api/notifications/ HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:62269 - "GET /api/notifications/unread-count HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:62334 - "GET /api/notifications HTTP/1.1" 307 Temporary Redirect
verdaxis-backend  | INFO:     62.195.105.213:62334 - "GET /api/notifications/ HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:62334 - "GET /api/notifications/unread-count HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:62465 - "GET /api/notifications HTTP/1.1" 307 Temporary Redirect
verdaxis-backend  | INFO:     62.195.105.213:62465 - "GET /api/notifications/ HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:62465 - "GET /api/notifications/unread-count HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:62527 - "GET /api/notifications HTTP/1.1" 307 Temporary Redirect
verdaxis-backend  | INFO:     62.195.105.213:62527 - "GET /api/notifications/ HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     62.195.105.213:62527 - "GET /api/notifications/unread-count HTTP/1.1" 200 OK
